RAM 4920/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [100%@2035,off,off,0%@2035,0%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@35C MCPU@35C PMIC@100C Tboard@31C GPU@33C BCPU@35C thermal@34.7C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/582 VDD_4V0_WIFI 0/0 VDD_IN 3373/3401 VDD_SYS_CPU 919/878 VDD_SYS_DDR 780/835
RAM 4921/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [86%@2035,off,off,0%@2035,0%@2035,13%@2035] EMC_FREQ 0% GR3D_FREQ 8% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/584 VDD_4V0_WIFI 0/0 VDD_IN 3373/3399 VDD_SYS_CPU 919/881 VDD_SYS_DDR 780/831
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [31%@2035,off,off,12%@2035,0%@2035,56%@2035] EMC_FREQ 0% GR3D_FREQ 8% PLL@35C MCPU@35C PMIC@100C Tboard@31C GPU@33.5C BCPU@35C thermal@34.5C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/586 VDD_4V0_WIFI 0/0 VDD_IN 3335/3395 VDD_SYS_CPU 919/883 VDD_SYS_DDR 799/829
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [79%@2035,off,off,2%@2035,2%@2035,15%@2035] EMC_FREQ 0% GR3D_FREQ 8% PLL@35C MCPU@35C PMIC@100C Tboard@31C GPU@33C BCPU@35C thermal@34.2C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/588 VDD_4V0_WIFI 0/0 VDD_IN 3525/3403 VDD_SYS_CPU 919/885 VDD_SYS_DDR 894/833
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [57%@345,off,off,25%@345,9%@345,7%@345] EMC_FREQ 0% GR3D_FREQ 12% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/589 VDD_4V0_WIFI 0/0 VDD_IN 3602/3415 VDD_SYS_CPU 919/887 VDD_SYS_DDR 932/839
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [7%@2035,off,off,48%@2035,14%@2035,34%@2035] EMC_FREQ 0% GR3D_FREQ 8% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/591 VDD_4V0_WIFI 0/0 VDD_IN 3487/3419 VDD_SYS_CPU 843/885 VDD_SYS_DDR 913/843
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [1%@2035,off,off,1%@2035,1%@2035,95%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/592 VDD_4V0_WIFI 0/0 VDD_IN 3678/3432 VDD_SYS_CPU 919/887 VDD_SYS_DDR 952/849
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [2%@2035,off,off,0%@2035,1%@2035,97%@2035] EMC_FREQ 0% GR3D_FREQ 8% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.5C Tdiode@31.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/593 VDD_4V0_WIFI 0/0 VDD_IN 3678/3445 VDD_SYS_CPU 919/888 VDD_SYS_DDR 952/854
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [8%@2035,off,off,90%@2035,0%@2035,1%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35C MCPU@35C PMIC@100C Tboard@31C GPU@33.5C BCPU@35C thermal@34.7C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/594 VDD_4V0_WIFI 0/0 VDD_IN 3678/3456 VDD_SYS_CPU 996/893 VDD_SYS_DDR 952/858
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [1%@2035,off,off,97%@2035,1%@2035,1%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33C BCPU@35.5C thermal@34.7C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/594 VDD_4V0_WIFI 0/0 VDD_IN 3640/3464 VDD_SYS_CPU 996/898 VDD_SYS_DDR 952/863
